name,builder,zone,units,trust_score,decision_tag,configurations,possession_date,possession_flag,bsp_sqft,all_in_lakh,min_price_lakh,max_price_lakh,price_note,carpet_sqft,sba_sqft,bank_approvals,honest_concern,analyst_note,rera_number,rera_status,delivery_score,rera_score,quality_score,financial_score,response_score
Riviera Elite,Goyal & Co. · HN Safal,Shela,204,88,Strong Buy,4BHK Typical · 4BHK Duplex · 4BHK Triplex · 5BHK Typical · 5BHK Duplex · 5BHK Triplex,30-06-2023 (passed — construction complete),green,,280,280,360,"Sold Out — 4BHK ₹2.80Cr, 5BHK ₹3.60Cr (Transfer)",,,,Only 2 units remaining — no buyer choice. RERA possession June 2023 passed — OC/handover must be verified. 2 complaints (2019 + Nov 2025).,"Only 2 units remaining — near-sellout validates buyer confidence. Cracknell Dubai for landscape. 4BHK Typical 1,990 sqft + Duplex 3,916 sqft + Triplex 4,820 sqft.",PR/GJ/AHMEDABAD/SANAND/AUDA/RAA04368/141218,Active,27,15,19,14,13
Riviera Majestica,Goyal & Co. · HN Safal,Shela,340,87,Strong Buy,4BHK Typical · 5BHK Typical · 5BHK Duplex · 5BHK Triplex,31-12-2027,amber,6200,,,,"Basic Rate ₹6,200/sqft",,,,Possession Dec 2027 — 1.75 years away — amenities only 40% complete. 2 quarterly compliance gaps.,Sky City Township — 104 acres integrated township. RWDI wind + Ducon + E-Cube concrete. Library + Yoga + Cafeteria + Kids Pool.,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA10889/111122,Active,24,16,20,14,13
Shaligram Pride,Shaligram Group,Shela,117,85,Strong Buy,3BHK + 27 Shops,31-03-2026,amber,4200,,,,"Basic Rate ₹4,200/sqft",,,,Possession March 2026 — tight. Smaller carpet 373-859 sqft. Only 43 units remaining.,100% construction complete — only ready/near-ready project in BuyerChat database. 74/117 units sold. 0% project loan + SBI escrow.,PR/GJ/AHMEDABAD/AHMEDABAD CITY/AUDA/MAA12677/161123,Active,28,17,15,13,12
Riviera Palacio,Goyal & Co. · HN Safal,Shela,140,84,Strong Buy,4BHK · 5BHK · 7BHK Penthouse,31-12-2029,amber,6000,,,,"Basic Rate ₹6,000/sqft",,,,VRV AC mandatory — buyer must budget Rs.8-15L extra. Construction only 38.78%. Dec 2029 possession.,"37-floor landmark tower — tallest residential in this micro-market. Marble in drawing, dining AND kitchen. Spa & Salon + Pickle Ball + Luxury Home Theatre.",PR/GJ/AHMEDABAD/SANAND/AUDA/RAA12709/161123,Active,23,15,20,13,13
Riviera Woods,Goyal & Co. · HN Safal,Shela,170,84,Strong Buy,4BHK Typical · 4BHK Duplex · 4BHK Triplex · 5BHK Typical · 5BHK Duplex · 5BHK Triplex,30-06-2024 (passed — 85% construction),green,,280,280,360,"Sold Out — 4BHK ₹2.80Cr, 5BHK ₹3.60Cr (Transfer)",,,,No escrow bank record. Possession June 2024 passed — OC status must be confirmed. Only 1 unit remaining.,85% construction + 100% amenities. Same Goyal+HN Safal pedigree. Sky City Township integrated living.,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA04910/250219,Active,25,14,19,13,13
Riviera Bliss,Goyal & Co. · HN Safal,South Bopal,236,83,Strong Buy,3BHK · 4BHK · 4BHK Penthouse · 5BHK Penthouse,31-12-2029,amber,5700,,,,"Basic Rate ₹5,700/sqft",,,,Dec 2029 possession — 3.75 years away. 7.06% project loan. 39% booking absorption — low.,"Goyal & Co. (250+ projects since 1971) + HN Safal (43M sqft). Premium 3BHK, 4BHK, 5BHK Penthouse. Wall hung WC + wall hung basin.",PR/GJ/AHMEDABAD/DASKROI/AMC/RAA14351/281024/311229,Active,25,16,17,12,13
Vishwanath Sarathya West,Vishwanath Builders,Shela,658,83,Strong Buy,3BHK + Shops + Offices,31-12-2026,amber,4000,,,,"Basic Rate ₹4,000/sqft",,,,186 residential units still available (28%). Single-owner proprietorship structure. Room dimensions not in brochure.,Johnson + Simpolo + Jaquar + Anchor Panasonic + Polycab — 5 named brands. 45+ amenities. 34 years Gujarat experience + ET Industry Leader 2023.,PR/GJ/AHMEDABAD/SANAND/AUDA/MAA10293/A1M/140323,Active,24,15,19,12,13
Sky Villa,Goyal & Co. · HN Safal,Shela,41,82,Strong Buy,5BHK Standalone Villa + Basement + Lift Duct,31-03-2024 (passed),green,,,,,"Land ₹60,000/SqYd + Construction ₹30,000/SqYd (Basic Rate)",,,,Lift duct only — buyer installs at own cost (Rs.5-10L). Garden at buyer cost. RERA March 2024 passed — OC must be verified.,Only 41 units — rarest project. Private plots 457-558 sqm. Home Theatre 15x33ft. Perfect RERA compliance + ICICI escrow.,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA09322/151121,Active,23,16,18,13,12
Riviera Aspire,Goyal & Co. · HN Safal,Shela,240,82,Strong Buy,3BHK · 4BHK · 4BHK Penthouse · 5BHK Penthouse,30-06-2027,amber,5800,,,,"Sold Out — 3BHK & 4BHK ₹5,800/sqft (Transfer)",,,,1 complaint Feb 2025. 5 quarterly compliance gaps. OC status must be confirmed.,85% construction + 100% amenities. 16 units available. Kids Pool + Yoga Terrace + Outdoor Gym.,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA09891/070322,Active,24,15,18,13,12
Riviera Springs,Goyal & Co. · HN Safal,Shela,320,80,Strong Buy,3BHK · 4BHK · 4BHK Penthouse · 5BHK Penthouse,30-12-2026,amber,6000,,,,"Sold Out — 3BHK ₹6,000/sqft, 4BHK ₹6,200/sqft (Transfer)",,,,Only 3 units remaining. Dec 2026 OC timeline must be verified. 1 recent complaint (Oct 2025).,"85% construction + 100% amenities. 3BHK from 1,410 sqft carpet — most accessible entry into Sky City.",PR/GJ/AHMEDABAD/SANAND/AUDA/RAA07154/170620,Active,24,14,17,13,12
Floris Villa,Goyal & Co. · HN Safal,Shela,,77,Buy w/ Cond,4BHK Row House + Basement Activity Room,31-03-2019 (passed — construction complete),green,,340,340,340,Sold Out — All Inclusive ₹3.40Cr (Transfer),,,,RERA end date 2019 — 6+ years overdue — OC must be verified urgently. Unit count discrepancy.,Only row house/villa product in BuyerChat database. DURAVIT EWC + JAQUAR CP fittings. 100% construction complete.,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00064/040917,Active (Ongoing),22,12,20,12,11
Arcus Villa,Goyal & Co. · HN Safal,Shela,,73,Buy w/ Cond,4BHK Twin Bungalow + Basement,31-03-2019 (passed),green,,550,550,550,Sold Out — All Inclusive ₹5.50Cr (Transfer),,,,Common amenities only 71.43%. RERA 2019 passed — OC must be verified. 1 complaint Jun 2020.,"Twin bungalow format — larger, more private than Floris. DURAVIT + JAQUAR fittings. 18x13ft drawing room.",PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00065/040917,Active (Ongoing),20,11,20,12,10
Vernis Villa,Goyal & Co. · HN Safal,Shela,,72,Buy w/ Cond,4BHK Independent Bungalow + Basement + Lift,31-03-2019 (passed),green,,750,750,750,Sold Out — All Inclusive ₹7.50Cr (Transfer),,,,RERA 2019 passed — OC critical. Common amenities 71.43%. No escrow bank record.,Italian Marble in Living + Dining — only project with Italian Marble as standard. Lift provision in every unit. 15x31ft activity room — largest single room in database.,PR/GJ/AHMEDABAD/SANAND/AUDA/RAA00063/040917,Active (Ongoing),20,11,20,11,10
The Planet,Sundaram Landscape LLP (Venus Group),Shela,514,69,Buy w/ Cond,3BHK only (Residential) + Showrooms (Retail),December 2030,amber,4000,,,,"Basic Rate ₹4,000/sqft",,,SBI · ICICI · HDFC · Axis · Canara,Only 5-10% construction complete as of Jan 2026. Dec 2030 possession = 4.5 year wait. Builder not a known SoBo/Shela name.,Pickleball Court — only project in SoBo/Shela with one. Dual road frontage (18 MT + 30 MT). 62-shop retail plaza within compound.,PR/GJ/AHMEDABAD/DASKROI/AMC/MAA14626/311224/311230,Active,18,17,13,11,10
Shaligram Prestige,Shaligram Group,Shela,469,62,Wait,3BHK + 79 Retail Shops,14-07-2025 OVERDUE,red,4200,,,,"Regular ₹4,200/sqft · DP ₹3,600/sqft",,,,Possession July 2025 OVERDUE — construction only 4-6% as of Mar 2026. 443/568 units unsold. 3 simultaneous large projects — resource split.,Natural lake immediately adjacent — rare differentiator. Pickleball + Badminton + Basketball. 0% project loan on Rs.345Cr.,PR/GJ/AHMEDABAD/DASKROI/AMC/MAA11/032/291221/231230,Active,14,13,15,12,8
The Galaxy,Dev Infinity Buildcon,Daskroi,,57,Wait,3BHK + Ground Floor Shops,December 2030,amber,4200,,,,"Basic Rate ₹4,200/sqft",,,,0 completed projects by Dev Infinity Buildcon. Not started as of RERA Oct 2025 — Dec 2030 is 5+ year wait. Lean amenity list.,Club O7 Road address — same premium corridor as The Planet. Low project loan (2.4%). SBI escrow — RERA-compliant.,PR/GJ/AHMEDABAD/DASKROI/AMC/MAA16047/271025/311230,Active,12,13,16,9,7
